description
"[['te', 'voy', 'ahorc']]"
"[['per', 'buen']]"
[['ok']]
"[['no', 'primer', 'vez', 'q', 'met', 'dur']]"
"[['teng', 'estres']]"
"[['del', 'caraj']]"
"[['se', 'pon', 'asco', 'gent']]"
"[['el', 'present', 'proyect', 'abordarã¡', 'problemã¡t', 'cã³mo', 'parametriz', 'model', 'machin', 'learning', 'encontr', 'autogoal', 'utiliz', 'context', 'optimizaciã³n', 'bayesian', 'optimizaciã³n', 'hiperparã¡metr', 'dich', 'model', 'par', 'ser', 'exact', 'centr', 'dad', 'pipelin', 'machin', 'learning', 'pod', 'represent', 'espaci', 'optimizaciã³n', 'bayesian']]"
"[['cre', 'deberã\xad', 'pon', 'issu']]"
[['no']]
"[['teng', 'q', 'cambi', 'apto']]"
"[['imaginat', 'q', 'estudi', 'maã±an', 'prueb', 'ingles']]"
"[['dios', 'quier', 'aprueb']]"
"[['esto', 'habl', 'agost', 'pq', 'graduab', 'juli', 'ahor', 'cov', 'diciembr', 'quier', 'q', 'diciembr', 'busc', 'ahor', 'pq', 'agost', 'vam', 'enred', 'tesis']]"
[['umju']]
"[['me', 'parec', 'bien']]"
"[['hac', 'puscutu']]"
[['no']]
[['oh']]
"[['literal', 'mir']]"
"[['nad', 'ver', 'cos']]"
"[['con', 'cuã¡l', 'qued']]"
"[['morg', 'necesit', 'favor']]"
"[['sup', 'sup', 'cans']]"
"[['anich', '2', 'am', 'termin']]"
[['umju']]
[['si']]
"[['lo', 'q', 'memori']]"
